Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,-0.08,0.143,0.074,0.247,-0.218,0.09,-0.282,0.037,0.465,0.35,-0.346,-0.01,0.166,-0.424,-0.222,-0.48,0.0,0.0,0.0,0.438,0.462,0.382,0.689,0.074,-0.17,-0.113,0.661,0.249,-0.197,0.155,0.214,0.0,0.0,0.292,0.573,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.824,0.425,0.607,0.308,0.756,0.0,0.0,1.096,0.32,0.414,0.951,0.865,1.051,0.0,1.22,0.637,0.97,1.267
Australia,0.151,0.111,-0.122,-0.042,0.114,-0.253,-0.104,-0.208,0.099,-0.01,-0.044,0.092,0.835,-0.349,0.059,-0.501,0.195,0.086,0.386,0.899,0.505,0.207,0.646,-0.157,0.336,0.365,0.346,0.945,0.137,0.529,0.805,0.247,0.449,0.187,0.377,0.559,0.349,1.048,0.56,0.121,0.304,0.687,0.778,0.666,1.137,0.653,0.865,0.557,0.96,0.619,0.148,0.24,1.436,1.141,1.038,1.126,1.111,1.104,1.405,1.404
Austria,1.031,-0.621,-0.725,-0.371,-0.881,0.605,0.676,0.21,-0.124,-0.55,-0.061,0.108,-0.03,0.317,0.863,0.219,0.499,-0.471,-0.106,-0.268,0.283,0.392,1.069,-0.242,-0.562,0.326,-0.254,0.829,1.114,1.276,0.141,1.263,0.543,1.978,0.958,-0.183,0.533,1.363,1.001,1.788,1.523,1.556,1.487,0.857,0.657,0.94,2.166,1.611,1.572,0.684,1.398,1.81,1.122,2.43,2.184,2.115,1.765,2.563,2.408,2.357
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.834,-1.015,0.1,1.014,0.246,0.586,1.188,1.239,1.11,1.393,1.421,-0.162,1.284,0.844,1.486,0.938,0.89,0.755,2.292,0.733,1.425,1.514,1.176,1.597,1.385,1.236,2.181,1.967,1.968
Bahamas,-0.016,-0.167,-0.192,0.091,-0.014,-0.213,-0.187,-0.31,-0.13,-0.485,0.036,0.472,0.336,0.091,0.479,-0.227,0.132,0.202,0.278,0.436,-0.035,0.527,0.246,0.121,0.33,0.321,0.495,0.422,0.712,0.82,0.838,0.342,0.433,0.857,0.767,0.115,0.877,1.029,0.724,0.313,0.248,0.969,1.117,0.449,0.514,0.448,0.998,0.932,0.519,0.408,0.487,0.496,0.721,1.053,1.397,1.349,1.506,1.144,1.581,1.706
Bahrain,-0.465,0.393,0.625,-0.572,0.223,0.521,-0.389,-0.475,0.537,0.23,-0.26,-0.579,-0.239,-0.235,-0.219,-0.506,0.328,0.095,0.853,0.347,0.404,-0.097,-0.854,0.016,0.352,0.649,0.524,0.601,0.008,0.383,-0.244,-0.549,0.119,0.988,0.238,0.68,0.359,1.417,2.06,1.15,1.24,1.584,1.267,1.389,1.066,1.839,1.052,1.295,1.182,2.141,1.355,1.299,1.418,1.814,2.355,1.63,2.091,2.25,2.125,2.119
Bangladesh,0.155,-0.258,-0.082,0.099,-0.2,0.318,-0.221,-0.242,-0.019,-0.038,-0.586,-0.032,0.146,-0.152,-0.088,-0.11,-0.265,-0.23,0.488,0.152,-0.157,-0.027,-0.093,-0.239,0.154,0.135,0.433,0.429,0.2,-0.042,0.049,-0.047,-0.325,0.316,0.29,0.242,-0.015,0.598,0.877,0.337,0.461,0.52,0.373,0.418,0.766,1.007,0.472,0.26,1.037,1.005,0.292,0.485,0.377,0.563,0.796,1.395,1.242,1.039,1.264,1.053
Barbados,0.26,0.13,0.233,0.019,-0.252,-0.125,-0.229,-0.343,0.327,0.088,-0.161,-0.005,0.013,-0.334,-0.559,-0.426,-0.04,0.254,0.043,0.506,0.275,0.127,0.241,-0.104,-0.298,-0.202,0.497,0.342,0.149,0.292,0.346,0.254,0.314,0.303,0.355,0.198,0.175,0.967,0.351,0.192,0.395,0.372,0.76,0.614,1.056,0.765,0.605,0.252,0.374,1.101,0.648,0.48,0.76,0.405,0.86,1.153,0.792,0.509,0.974,0.816
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.272,0.025,1.141,1.501,-0.275,0.36,0.707,1.506,1.942,1.979,1.89,0.084,0.934,1.28,0.65,2.364,2.255,1.602,1.456,1.008,1.546,1.193,2.165,2.244,2.194,1.588,2.339,2.697,3.518
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.487,1.341,1.402,1.532,1.094,1.202,1.401,1.883,1.257,1.16,0.231,1.285,1.131,0.465,2.409,1.367,1.867,1.707,2.177,2.054,2.549
