Country,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 Azerbaijan, AZE,26.450000000000003,36.275,52.175000000000004,29.474999999999998,37.166666666666664,40.324999999999996,39.800000000000004,32.824999999999996,43.30833333333334,27.991666666666664,27.016666666666666,41.300000000000004,35.875,38.15833333333333,33.791666666666664,35.083333333333336,39.141666666666666,36.041666666666664,34.28333333333333,34.49166666666667,42.81666666666666,46.00833333333333,31.316666666666666,35.891666666666666,31.333333333333332,31.183333333333334,35.458333333333336,42.81666666666666,26.208333333333332,32.78333333333333,32.208333333333336,36.96666666666667,34.81666666666667,39.09166666666667,30.241666666666664,31.866666666666664,34.824999999999996,29.075,32.875,30.666666666666668,30.116666666666664,39.708333333333336,41.88333333333333,39.891666666666666,37.425000000000004,35.0,36.80833333333333,31.366666666666664,36.84166666666667,38.0,39.09166666666667,31.733333333333334,34.24166666666667,31.375,36.858333333333334,40.233333333333334,29.808333333333334,33.483333333333334,25.724999999999998,32.708333333333336
 Bahamas, BHS,78.56666666666666,95.48333333333333,96.76666666666667,102.45,94.0,134.59166666666667,101.43333333333334,139.78333333333333,135.83333333333334,102.52499999999999,91.93333333333334,113.45833333333333,112.99166666666666,82.14166666666667,103.21666666666665,106.63333333333333,100.85000000000001,115.07499999999999,112.25,113.7,92.75833333333333,109.47500000000001,121.20833333333333,110.075,109.575,90.49166666666666,103.18333333333334,110.125,97.125,98.80833333333334,126.68333333333334,99.44166666666666,112.75,131.63333333333333,145.79166666666666,120.86666666666667,127.74166666666667,107.39166666666667,116.23333333333333,104.21666666666665,121.89999999999999,117.00833333333334,107.23333333333333,82.81666666666666,106.92500000000001,99.88333333333333,117.30833333333334,109.06666666666666,102.21666666666665,109.49166666666667,107.72500000000001,127.66666666666667,126.94166666666666,108.50833333333334,106.80833333333334,120.61666666666667,114.72500000000001,122.93333333333334,138.76666666666668,156.275
 Bahrain, BHR,7.908333333333332,1.6416666666666666,2.441666666666667,14.883333333333333,5.241666666666666,3.1916666666666664,2.7083333333333335,7.058333333333334,15.283333333333333,1.6916666666666667,3.491666666666667,8.341666666666667,2.1333333333333333,5.6499999999999995,6.483333333333333,17.416666666666668,8.125,2.3833333333333333,6.808333333333334,7.041666666666667,3.5500000000000003,14.225,6.716666666666666,4.433333333333334,4.633333333333333,7.833333333333333,3.391666666666666,9.991666666666665,7.608333333333334,6.691666666666667,8.258333333333333,5.675,9.041666666666666,2.5416666666666665,8.616666666666667,9.85,8.533333333333333,8.991666666666667,7.6000000000000005,6.683333333333334,1.7083333333333333,7.333333333333333,6.241666666666667,7.758333333333333,6.633333333333333,5.758333333333333,3.8416666666666663,4.058333333333333,8.625,2.125,7.541666666666667,4.266666666666667,3.125,8.808333333333334,4.45,1.5916666666666668,11.708333333333334,5.191666666666667,13.5,5.708333333333333
 Bangladesh, BGD,211.67499999999998,179.08333333333334,189.5666666666667,209.28333333333333,198.26666666666665,177.89166666666665,181.23333333333335,210.45833333333334,189.28333333333333,220.725,177.07500000000002,143.15,212.15833333333333,223.92499999999998,185.375,191.5,197.11666666666667,190.85,190.21666666666667,183.89166666666665,216.06666666666663,178.98333333333335,224.225,243.75,186.48333333333335,201.46666666666667,220.88333333333333,228.15,165.15,215.78333333333333,218.025,145.13333333333335,221.39166666666665,149.67499999999998,195.5666666666667,178.98333333333335,183.20833333333334,212.39166666666665,212.65,198.375,191.225,195.16666666666666,181.95833333333334,187.24166666666667,168.35,160.65,207.14166666666665,181.65,165.625,187.23333333333335,164.19166666666666,166.00833333333333,168.59166666666667,150.19166666666666,211.86666666666667,176.64166666666665,228.55833333333337,151.89166666666668,169.10833333333332,206.42499999999998
 Barbados, BRB,155.875,159.36666666666667,167.175,153.95000000000002,150.475,230.49166666666667,175.70833333333334,150.5,190.54166666666666,206.92499999999998,151.975,164.09166666666667,124.86666666666667,140.54166666666666,162.61666666666667,157.14166666666668,143.475,154.00833333333333,183.775,175.95833333333334,192.46666666666667,180.53333333333333,155.16666666666666,185.5583333333333,175.0666666666667,174.70000000000002,174.71666666666667,192.00833333333333,161.57500000000002,168.20000000000002,164.33333333333334,187.42499999999998,173.26666666666665,163.5,182.9416666666667,192.14166666666665,148.81666666666666,215.725,166.29999999999998,178.01666666666665,157.925,147.53333333333333,183.91666666666666,243.625,219.34166666666667,167.525,169.74166666666667,188.0666666666667,155.625,228.96666666666667,233.66666666666666,199.3166666666667,169.6,164.70833333333334,130.03333333333333,186.48333333333335,197.41666666666666,171.26666666666665,127.04166666666667,163.79166666666666
 Belarus, BLR,44.125,60.025,43.625,47.53333333333333,47.56666666666666,55.26666666666666,53.24166666666667,48.68333333333334,49.89166666666667,59.15833333333333,46.84166666666667,48.800000000000004,52.375,54.85,42.125,41.791666666666664,56.30833333333334,52.90833333333333,48.6,58.699999999999996,52.791666666666664,47.083333333333336,45.916666666666664,47.675000000000004,55.90833333333333,48.25,50.78333333333333,52.574999999999996,53.725,58.35833333333333,45.083333333333336,46.68333333333333,53.43333333333334,50.0,49.199999999999996,47.40833333333333,55.11666666666667,64.28333333333333,48.15,51.541666666666664,54.49166666666667,45.125,49.07500000000001,56.49166666666667,51.875,48.725,51.824999999999996,55.46666666666667,67.04166666666667,59.61666666666667,46.5,62.48333333333334,54.791666666666664,46.76666666666667,43.925000000000004,58.25833333333333,61.84166666666667,48.35833333333333,46.824999999999996,49.449999999999996
 Belgium, BEL,82.75833333333334,70.63333333333334,62.31666666666667,63.800000000000004,93.09166666666665,94.85000000000001,66.94166666666666,68.325,67.95,71.825,55.208333333333336,63.90833333333333,60.90833333333333,88.33333333333333,62.24166666666667,47.35833333333333,75.46666666666667,65.35000000000001,77.575,79.41666666666667,90.125,73.97500000000001,71.625,81.85833333333333,65.30833333333332,79.91666666666667,82.95,87.14999999999999,65.08333333333333,66.52499999999999,64.10000000000001,74.74166666666666,79.05,76.75,70.825,54.26666666666667,66.575,85.325,81.10833333333333,85.64999999999999,89.25,84.70833333333333,59.949999999999996,72.33333333333333,71.16666666666667,73.14999999999999,81.03333333333333,76.85000000000001,72.65,74.25833333333334,65.19166666666666,82.23333333333333,72.76666666666667,73.35000000000001,69.35833333333333,78.01666666666667,72.18333333333334,63.75833333333333,71.73333333333333,69.36666666666666
 Belize, BLZ,205.54166666666666,161.975,154.04166666666666,155.67499999999998,165.76666666666668,194.45833333333334,160.61666666666667,170.35,195.53333333333333,164.625,144.44166666666666,170.58333333333334,161.13333333333335,159.725,146.96666666666667,183.6833333333333,174.39166666666665,192.0,221.3083333333333,204.41666666666666,190.51666666666665,202.10833333333332,181.78333333333333,198.01666666666665,165.32500000000002,157.54999999999998,147.23333333333332,206.85,190.35,201.23333333333332,165.25833333333333,196.79999999999998,194.83333333333334,154.83333333333334,193.10833333333335,165.83333333333334,178.83333333333334,199.9416666666667,177.15833333333333,173.74166666666667,177.225,160.16666666666666,159.01666666666668,159.66666666666666,180.53333333333333,227.83333333333334,169.17499999999998,190.50833333333333,151.86666666666667,192.24166666666667,206.61666666666667,172.74166666666667,244.54166666666666,185.99166666666667,153.94166666666666,173.15,176.59166666666667,195.03333333333333,129.56666666666666,170.29166666666666
 Benin, BEN,81.64999999999999,109.3,115.24166666666667,89.99166666666667,87.04166666666667,88.20833333333333,93.71666666666665,110.64166666666667,95.10833333333333,88.0,81.93333333333332,82.96666666666667,79.29166666666667,89.15833333333335,89.64166666666667,79.66666666666667,70.76666666666667,91.15833333333335,96.64999999999999,84.53333333333333,80.53333333333333,75.0,62.56666666666666,77.575,81.98333333333333,79.05,79.64166666666667,96.625,90.50833333333334,76.96666666666667,101.075,78.6,77.45,92.64166666666667,93.35833333333333,88.09166666666665,83.56666666666666,91.35000000000001,97.25,80.60000000000001,70.40833333333333,85.40833333333335,100.20833333333333,86.85833333333333,82.59166666666667,82.125,94.19166666666666,99.00833333333334,91.75,94.43333333333334,81.65833333333333,83.425,78.8,84.25833333333334,76.99166666666666,79.625,86.21666666666665,92.46666666666665,99.01666666666667,92.925
 Bhutan, BTN,143.95000000000002,185.15,173.61666666666667,149.57500000000002,141.45000000000002,162.58333333333334,130.06666666666666,167.325,147.03333333333333,173.65833333333333,161.25833333333333,132.07500000000002,182.65833333333333,170.38333333333333,161.04999999999998,143.42499999999998,190.58333333333334,180.73333333333335,157.24166666666667,164.75,153.125,129.25,139.89166666666668,182.1833333333333,168.95000000000002,163.60833333333332,164.41666666666666,181.9333333333333,159.34166666666667,174.6,181.20833333333334,152.25833333333335,164.625,135.80833333333334,163.13333333333333,152.39166666666668,155.09166666666667,178.6,179.775,177.42499999999998,180.9416666666667,158.51666666666668,168.175,169.21666666666667,142.93333333333334,149.74166666666667,169.18333333333334,180.15,123.05833333333334,171.59166666666667,151.0,144.74166666666667,167.625,150.05833333333334,148.59166666666667,156.75,167.65833333333333,130.10833333333332,149.93333333333334,170.9416666666667
