Country,Type,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,Country area,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0,124670.0
Angola,Cropland,3170.0,3200.0,3220.0,3250.0,3270.0,3300.0,3330.0,3360.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3450.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3400.0,3300.0,3300.0,3390.0,3590.0,3590.0,3590.0,3590.0,3690.0,3690.0,4290.0,4390.0,4990.0,4990.0,5190.0,5190.0,5190.0,5195.0,5215.0,5215.0
Anguilla,Country area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Antigua and Barbuda,Country area,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Antigua and Barbuda,Cropland,8.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Argentina,Country area,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0
Argentina,Cropland,19472.0,20061.0,20486.0,20892.0,21358.0,22511.0,23249.0,24765.0,26816.0,26925.0,26931.0,26936.0,26942.0,26947.0,26953.0,26958.0,26964.0,26969.0,26975.0,26981.0,26986.0,27992.0,27998.0,28003.0,28008.0,28014.0,27819.0,27392.0,27490.0,27595.0,27700.0,27805.0,27910.0,28018.0,28125.0,28232.0,28335.0,28440.0,28532.0,28640.0,28746.0,28862.0,29683.5,31775.0,33897.5,35854.0,37433.0,36261.0,35292.0,38981.0,39781.0,40754.0,40699.0,40200.0,40200.0,40200.0,40200.0,40268.0
Armenia,Country area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
Armenia,Cropland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,493.0,500.0,494.0,506.0,498.0,493.0,488.0,488.0,493.0,491.0,494.0,505.0,505.0,503.9,506.1,504.4,502.4,503.6,502.6,505.1,505.9,504.8,504.3,504.4,504.1,504.7
Armenia,Cropland area actually irrigated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.4,153.1,154.4,154.2,153.7,153.1,152.9,152.7,0.0,0.0,0.0,0.0,100.0
Aruba,Country area,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Aruba,Cropland,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Australia,Country area,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0
Australia,Cropland,14551.3932,15694.266,15563.9526,16478.1699,17510.9643,18968.289,19456.3572,21595.1967,19822.206,18680.1426,17047.0,17231.0,15102.0,14957.0,13747.0,14642.0,15010.0,16800.0,17438.0,17954.0,18396.0,19613.0,19421.0,21911.0,21136.0,20853.0,19765.0,18359.0,17704.0,17137.0,17382.0,16404.0,17297.0,18043.0,17040.0,19409.0,21133.0,21595.0,23264.0,23769.0,24520.0,24060.0,23575.0,26080.0,26742.0,24565.0,23530.0,24374.0,27511.0,25968.0,32078.0,31993.0,31611.0,32307.0,31397.0,30378.0,31074.0,31306.0
Australia,Cropland area actually irrigated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506.0,2545.0,2378.0,2402.0,2405.0,1463.0,1156.0,1095.0,1255.0,1106.0,1285.0,1382.0,1475.0,1430.0,1237.0,1342.0,1423.0,1425.0
Austria,Country area,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9,8387.9
Austria,Cropland,1754.0,1746.0,1721.0,1724.0,1728.0,1686.0,1670.0,1672.0,1680.0,1681.0,1681.0,1682.0,1612.0,1612.0,1609.0,1618.0,1627.0,1645.0,1622.0,1635.0,1648.0,1634.0,1516.0,1522.0,1525.0,1513.0,1513.0,1532.0,1533.0,1505.0,1524.0,1506.0,1498.0,1499.0,1492.0,1486.0,1479.0,1476.0,1473.0,1470.0,1458.0,1456.0,1451.03,1445.3,1446.7,1445.2,1444.0,1435.3,1432.9,1429.1,1424.9,1420.4,1419.3,1417.1,1411.59,1411.36,1395.81,1394.02
Austria,Cropland area actually irrigated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.33,0.0,0.0,0.0,0.0,0.0,37.3,0.0,0.0
